Index,Folder,Filename,Image Size,BBox,Categorical_Labels,Continuous_Labels,Gender,Age
53,mscoco/images,COCO_train2014_000000390644.jpg,"[640, 424]","[112, 110, 299, 368]",['Anticipation'],"[7, 7, 8]",Female,Adult
54,mscoco/images,COCO_val2014_000000107239.jpg,"[500, 375]","[178, 39, 435, 227]","['Affection', 'Anticipation', 'Engagement', 'Excitement', 'Happiness', 'Pleasure']","[7, 6, 7]",Female,Teenager
55,mscoco/images,COCO_train2014_000000322698.jpg,"[640, 427]","[167, 165, 399, 421]",['Anticipation'],"[6, 6, 8]",Male,Adult
56,mscoco/images,COCO_val2014_000000508538.jpg,"[500, 375]","[157, 89, 262, 339]",['Disconnection'],"[4, 6, 5]",Male,Teenager
57,mscoco/images,COCO_train2014_000000563727.jpg,"[640, 426]","[90, 67, 619, 421]",['Engagement'],"[7, 6, 7]",Male,Adult
58,mscoco/images,COCO_val2014_000000182785.jpg,"[640, 428]","[70, 75, 333, 300]",['Engagement'],"[7, 9, 7]",Male,Teenager
59,emodb_small/images,gs84txnh5el02zkbp9.jpg,"[225, 225]","[26, 3, 202, 225]","['Anger', 'Aversion', 'Disapproval']","[3, 7, 6]",Male,Adult
60,mscoco/images,COCO_train2014_000000408190.jpg,"[640, 640]","[348, 366, 531, 568]",['Anticipation'],"[8, 8, 7]",Female,Adult
61,framesdb/images,frame_aztc78d4kjclxv9e.jpg,"[600, 400]","[115, 266, 230, 392]","['Anticipation', 'Engagement', 'Happiness']","[6, 6, 6]",Male,Adult
62,framesdb/images,frame_aztc78d4kjclxv9e.jpg,"[600, 400]","[190, 206, 259, 282]","['Anticipation', 'Engagement']","[4, 8, 7]",Male,Adult
63,framesdb/images,frame_aztc78d4kjclxv9e.jpg,"[600, 400]","[378, 207, 419, 255]",['Engagement'],"[5, 6, 6]",Female,Adult
64,framesdb/images,frame_7nseu023ccmqaj3p.jpg,"[799, 499]","[554, 192, 604, 338]","['Affection', 'Happiness', 'Peace']","[6, 4, 3]",Male,Adult
65,framesdb/images,frame_7nseu023ccmqaj3p.jpg,"[799, 499]","[394, 242, 450, 355]","['Happiness', 'Peace', 'Pleasure']","[7, 4, 7]",Female,Adult
66,framesdb/images,frame_7nseu023ccmqaj3p.jpg,"[799, 499]","[607, 185, 649, 348]","['Engagement', 'Happiness', 'Peace']","[6, 6, 6]",Female,Adult
67,framesdb/images,frame_7nseu023ccmqaj3p.jpg,"[799, 499]","[646, 221, 688, 317]",['Peace'],"[5, 3, 8]",Male,Teenager
68,mscoco/images,COCO_train2014_000000432683.jpg,"[640, 480]","[52, 84, 226, 479]",['Confidence'],"[5, 7, 8]",Male,Adult
69,mscoco/images,COCO_train2014_000000233526.jpg,"[640, 361]","[418, 120, 582, 260]",['Yearning'],"[8, 8, 7]",Male,Kid
70,mscoco/images,COCO_train2014_000000137029.jpg,"[640, 471]","[137, 6, 546, 462]",['Excitement'],"[7, 9, 7]",Male,Adult
71,mscoco/images,COCO_train2014_000000274108.jpg,"[640, 480]","[196, 84, 382, 469]",['Sensitivity'],"[6, 2, 5]",Male,Kid
72,mscoco/images,COCO_train2014_000000149755.jpg,"[640, 427]","[105, 7, 611, 422]","['Happiness', 'Peace']","[4, 6, 4]",Female,Adult
73,mscoco/images,COCO_train2014_000000159225.jpg,"[640, 427]","[24, 33, 207, 362]",['Yearning'],"[6, 6, 6]",Female,Adult
74,mscoco/images,COCO_train2014_000000298949.jpg,"[612, 612]","[193, 55, 509, 416]","['Anticipation', 'Engagement']","[5, 8, 8]",Male,Teenager
75,framesdb/images,frame_j44zhny87dief9zp.jpg,"[500, 500]","[6, 99, 144, 486]",['Happiness'],"[5, 3, 4]",Male,Adult
76,framesdb/images,frame_j44zhny87dief9zp.jpg,"[500, 500]","[278, 119, 482, 491]","['Engagement', 'Peace']","[5, 4, 5]",Female,Adult
77,framesdb/images,frame_j44zhny87dief9zp.jpg,"[500, 500]","[57, 91, 354, 490]","['Engagement', 'Peace']","[6, 3, 4]",Male,Adult
78,framesdb/images,frame_kpokdxsxymvz4qk3.jpg,"[960, 500]","[585, 1, 959, 499]",['Engagement'],"[5, 9, 4]",Male,Adult
79,mscoco/images,COCO_train2014_000000524651.jpg,"[640, 480]","[144, 147, 239, 430]",['Happiness'],"[8, 7, 7]",Female,Adult
80,framesdb/images,frame_08cmg83x4uc6vay4.jpg,"[3264, 2448]","[704, 797, 1254, 1479]",['Engagement'],"[5, 3, 3]",Male,Adult
81,framesdb/images,frame_08cmg83x4uc6vay4.jpg,"[3264, 2448]","[2070, 1383, 3000, 2447]",['Engagement'],"[5, 5, 4]",Male,Adult
82,framesdb/images,frame_08cmg83x4uc6vay4.jpg,"[3264, 2448]","[1558, 1158, 1812, 1473]","['Confidence', 'Engagement']","[4, 5, 6]",Male,Adult
83,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,"[730, 433]","[149, 83, 283, 418]",['Engagement'],"[8, 2, 7]",Male,Adult
84,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,"[730, 433]","[289, 122, 387, 400]","['Confidence', 'Esteem', 'Happiness', 'Pleasure']","[7, 3, 6]",Female,Adult
85,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,"[730, 433]","[536, 132, 655, 432]",['Engagement'],"[5, 4, 4]",Female,Adult
86,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,"[730, 433]","[35, 113, 63, 222]",['Disquietment'],"[5, 6, 6]",Female,Adult
87,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,"[730, 433]","[646, 129, 729, 351]",['Engagement'],"[6, 5, 6]",Female,Adult
88,mscoco/images,COCO_train2014_000000053608.jpg,"[640, 452]","[192, 30, 394, 350]",['Engagement'],"[7, 7, 8]",Male,Adult
89,mscoco/images,COCO_train2014_000000274642.jpg,"[427, 640]","[94, 16, 402, 396]",['Sensitivity'],"[10, 6, 8]",Female,Adult
90,framesdb/images,frame_hzo04gqf487tm689.jpg,"[370, 556]","[1, 392, 136, 535]",['Engagement'],"[8, 3, 4]",Female,Adult
91,framesdb/images,frame_hzo04gqf487tm689.jpg,"[370, 556]","[137, 143, 364, 491]","['Confidence', 'Excitement', 'Happiness']","[8, 6, 6]",Male,Teenager
92,framesdb/images,frame_hzo04gqf487tm689.jpg,"[370, 556]","[64, 17, 338, 262]","['Happiness', 'Peace']","[5, 4, 9]",Male,Adult
93,mscoco/images,COCO_val2014_000000482172.jpg,"[427, 640]","[186, 180, 371, 356]","['Confidence', 'Excitement']","[6, 7, 7]",Male,Adult
94,mscoco/images,COCO_val2014_000000576031.jpg,"[640, 480]","[224, 78, 403, 468]","['Anticipation', 'Engagement']","[6, 10, 8]",Male,Adult
95,mscoco/images,COCO_train2014_000000014103.jpg,"[640, 425]","[267, 89, 497, 289]","['Excitement', 'Happiness', 'Pleasure']","[7, 8, 8]",Male,Adult
96,mscoco/images,COCO_train2014_000000014103.jpg,"[640, 425]","[458, 111, 591, 424]",['Engagement'],"[6, 8, 4]",Male,Adult
97,framesdb/images,frame_8bcjgl84a80cguy5.jpg,"[675, 457]","[456, 86, 622, 456]","['Anticipation', 'Doubt/Confusion', 'Engagement']","[5, 5, 6]",Female,Adult
98,framesdb/images,frame_8bcjgl84a80cguy5.jpg,"[675, 457]","[144, 104, 296, 320]",['Disconnection'],"[7, 4, 7]",Female,Adult
99,framesdb/images,frame_8bcjgl84a80cguy5.jpg,"[675, 457]","[279, 4, 475, 345]","['Anticipation', 'Happiness']","[5, 7, 6]",Male,Adult
100,framesdb/images,frame_bwnq9ntic9dpamg2.jpg,"[500, 354]","[41, 243, 100, 353]",['Engagement'],"[6, 6, 7]",Female,Adult
101,framesdb/images,frame_bwnq9ntic9dpamg2.jpg,"[500, 354]","[267, 213, 366, 353]","['Anticipation', 'Engagement', 'Happiness']","[5, 4, 3]",Male,Teenager
102,emodb_small/images,78tk87458zwsmxaoi7.jpg,"[258, 460]","[122, 1, 258, 222]","['Disquietment', 'Doubt/Confusion', 'Fatigue', 'Sensitivity', 'Suffering']","[3, 4, 3]",Female,Teenager
103,framesdb/images,frame_6290od7o4jvss70n.jpg,"[320, 320]","[256, 187, 288, 269]","['Anticipation', 'Doubt/Confusion', 'Engagement']","[5, 6, 5]",Male,Adult
104,mscoco/images,COCO_train2014_000000498702.jpg,"[640, 427]","[179, 18, 352, 198]","['Confidence', 'Engagement', 'Esteem', 'Excitement', 'Pleasure']","[7, 8, 8]",Male,Adult
105,mscoco/images,COCO_train2014_000000498702.jpg,"[640, 427]","[197, 126, 451, 417]",['Confidence'],"[6, 9, 6]",Male,Adult
106,mscoco/images,COCO_train2014_000000261879.jpg,"[640, 427]","[34, 77, 407, 352]",['Engagement'],"[7, 4, 7]",Male,Adult
107,mscoco/images,COCO_train2014_000000261879.jpg,"[640, 427]","[353, 156, 629, 421]",['Fatigue'],"[5, 2, 4]",Male,Adult
108,mscoco/images,COCO_train2014_000000167028.jpg,"[640, 480]","[40, 96, 283, 341]","['Doubt/Confusion', 'Engagement']","[4, 4, 5]",Female,Adult
109,mscoco/images,COCO_train2014_000000167028.jpg,"[640, 480]","[283, 17, 511, 326]",['Engagement'],"[8, 8, 8]",Male,Adult
110,framesdb/images,frame_gq8umfw35sg36nlq.jpg,"[634, 418]","[542, 131, 627, 363]","['Affection', 'Confidence', 'Engagement']","[4, 4, 9]",Male,Adult
111,framesdb/images,frame_gq8umfw35sg36nlq.jpg,"[634, 418]","[277, 108, 357, 355]","['Engagement', 'Excitement', 'Happiness']","[5, 6, 6]",Male,Adult
112,emodb_small/images,h705hnfsvdwf6mh2xw.jpg,"[300, 300]","[131, 41, 300, 300]","['Anger', 'Annoyance', 'Aversion', 'Engagement']","[3, 7, 4]",Female,Adult
113,emodb_small/images,h705hnfsvdwf6mh2xw.jpg,"[300, 300]","[2, 39, 273, 300]","['Anger', 'Annoyance']","[2, 8, 9]",Female,Kid
114,mscoco/images,COCO_train2014_000000282027.jpg,"[640, 426]","[149, 31, 295, 402]",['Anticipation'],"[5, 7, 7]",Female,Adult
115,mscoco/images,COCO_train2014_000000396793.jpg,"[640, 427]","[374, 23, 467, 305]",['Anticipation'],"[6, 6, 7]",Female,Teenager
116,framesdb/images,frame_88u3mzsacaic5583.jpg,"[2586, 3630]","[754, 2357, 1700, 3347]",['Engagement'],"[6, 6, 6]",Male,Adult
117,mscoco/images,COCO_train2014_000000252375.jpg,"[443, 640]","[38, 46, 294, 384]","['Anticipation', 'Engagement']","[5, 7, 7]",Male,Teenager
118,framesdb/images,frame_hdepjixs67t3l4zo.jpg,"[420, 316]","[210, 87, 396, 311]","['Excitement', 'Happiness']","[8, 6, 6]",Female,Adult
119,framesdb/images,frame_hdepjixs67t3l4zo.jpg,"[420, 316]","[36, 18, 122, 128]",['Doubt/Confusion'],"[4, 4, 8]",Male,Adult
120,framesdb/images,frame_hdepjixs67t3l4zo.jpg,"[420, 316]","[30, 30, 242, 315]",['Engagement'],"[7, 3, 2]",Female,Adult
121,mscoco/images,COCO_train2014_000000483078.jpg,"[640, 430]","[248, 140, 351, 360]","['Anticipation', 'Confidence', 'Excitement']","[6, 7, 5]",Male,Kid
122,mscoco/images,COCO_val2014_000000110392.jpg,"[640, 426]","[38, 48, 385, 420]",['Engagement'],"[7, 7, 9]",Female,Adult
123,mscoco/images,COCO_train2014_000000509626.jpg,"[640, 457]","[349, 237, 527, 421]","['Confidence', 'Engagement', 'Excitement']","[2, 5, 4]",Male,Adult
124,mscoco/images,COCO_train2014_000000509626.jpg,"[640, 457]","[32, 78, 273, 413]","['Anticipation', 'Engagement', 'Happiness']","[5, 10, 6]",Male,Adult
125,emodb_small/images,ab3l4riuiqrc4ivkqk.jpg,"[400, 300]","[53, 54, 233, 300]","['Disconnection', 'Peace']","[3, 5, 6]",Female,Adult
126,emodb_small/images,4le1bbiky5djx0iuln.jpg,"[720, 1280]","[112, 230, 382, 714]","['Confidence', 'Esteem', 'Happiness']","[6, 6, 8]",Male,Adult
127,mscoco/images,COCO_train2014_000000102225.jpg,"[500, 375]","[17, 161, 149, 328]","['Confidence', 'Engagement']","[5, 9, 7]",Male,Teenager
128,mscoco/images,COCO_train2014_000000533291.jpg,"[500, 375]","[94, 120, 236, 237]","['Confidence', 'Engagement', 'Excitement']","[5, 9, 3]",Male,Adult
129,framesdb/images,frame_482f0lsguoiv0sk6.jpg,"[400, 305]","[82, 55, 200, 244]",['Excitement'],"[5, 6, 6]",Male,Adult
130,framesdb/images,frame_482f0lsguoiv0sk6.jpg,"[400, 305]","[267, 32, 364, 233]",['Engagement'],"[6, 6, 3]",Male,Adult
131,mscoco/images,COCO_train2014_000000377160.jpg,"[500, 375]","[88, 14, 216, 231]",['Happiness'],"[8, 6, 7]",Female,Teenager
132,mscoco/images,COCO_val2014_000000510791.jpg,"[640, 428]","[248, 44, 366, 372]","['Anticipation', 'Confidence', 'Esteem']","[7, 5, 9]",Male,Adult
133,mscoco/images,COCO_train2014_000000252801.jpg,"[640, 480]","[175, 64, 471, 471]",['Anticipation'],"[6, 6, 7]",Male,Adult
134,mscoco/images,COCO_val2014_000000108758.jpg,"[640, 480]","[59, 193, 262, 453]",['Confidence'],"[7, 5, 7]",Male,Adult
135,mscoco/images,COCO_train2014_000000107072.jpg,"[640, 458]","[166, 47, 293, 413]",['Anticipation'],"[7, 6, 6]",Male,Adult
136,framesdb/images,frame_ddghjgrf7k9jei5j.jpg,"[533, 800]","[260, 292, 317, 427]",['Engagement'],"[5, 2, 9]",Male,Adult
137,framesdb/images,frame_7qztqnocqk4d67lc.jpg,"[1100, 733]","[405, 19, 674, 702]","['Anticipation', 'Confidence', 'Happiness']","[9, 10, 10]",Male,Adult
138,framesdb/images,frame_7qztqnocqk4d67lc.jpg,"[1100, 733]","[778, 12, 918, 424]","['Anticipation', 'Doubt/Confusion', 'Engagement']","[5, 8, 6]",Male,Adult
139,framesdb/images,frame_hkvjon62ft6acgnx.jpg,"[364, 381]","[14, 51, 358, 370]","['Anticipation', 'Confidence', 'Engagement']","[5, 6, 6]",Male,Adult
140,mscoco/images,COCO_val2014_000000571264.jpg,"[640, 426]","[265, 29, 415, 387]","['Engagement', 'Peace']","[6, 4, 7]",Male,Adult
141,mscoco/images,COCO_train2014_000000565387.jpg,"[594, 640]","[207, 167, 414, 400]","['Engagement', 'Fear']","[6, 4, 6]",Male,Adult
142,mscoco/images,COCO_train2014_000000385280.jpg,"[640, 579]","[164, 124, 495, 504]",['Anticipation'],"[7, 7, 7]",Female,Adult
143,mscoco/images,COCO_train2014_000000331832.jpg,"[640, 480]","[47, 49, 245, 282]","['Engagement', 'Peace']","[6, 8, 9]",Male,Adult
144,framesdb/images,frame_6x5lpc7dh3yvrnc3.jpg,"[760, 512]","[304, 115, 463, 424]","['Confidence', 'Engagement', 'Excitement', 'Yearning']","[8, 4, 7]",Male,Adult
145,framesdb/images,frame_6x5lpc7dh3yvrnc3.jpg,"[760, 512]","[0, 348, 189, 511]","['Confidence', 'Engagement', 'Pleasure']","[7, 6, 3]",Male,Adult
146,framesdb/images,frame_6x5lpc7dh3yvrnc3.jpg,"[760, 512]","[531, 25, 654, 395]",['Engagement'],"[5, 4, 3]",Male,Adult
147,framesdb/images,frame_jsnriwfd0ffphs5g.jpg,"[1059, 746]","[291, 383, 393, 532]","['Affection', 'Happiness', 'Pleasure']","[4, 3, 4]",Male,Adult
148,framesdb/images,frame_jsnriwfd0ffphs5g.jpg,"[1059, 746]","[385, 380, 515, 512]",['Engagement'],"[6, 8, 8]",Female,Adult
149,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,"[4000, 2508]","[2612, 503, 3188, 2095]","['Anticipation', 'Engagement']","[7, 7, 6]",Male,Adult
150,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,"[4000, 2508]","[167, 454, 677, 2166]","['Disapproval', 'Embarrassment']","[7, 8, 4]",Male,Adult
151,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,"[4000, 2508]","[1900, 301, 2528, 2145]","['Confidence', 'Engagement']","[6, 5, 6]",Male,Adult
152,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,"[4000, 2508]","[1555, 301, 2187, 2093]","['Anticipation', 'Peace', 'Yearning']","[5, 7, 5]",Male,Adult
153,mscoco/images,COCO_val2014_000000202476.jpg,"[640, 427]","[286, 66, 507, 426]","['Anticipation', 'Confidence', 'Engagement']","[5, 8, 7]",Male,Adult
154,mscoco/images,COCO_train2014_000000269588.jpg,"[640, 635]","[107, 91, 302, 612]","['Anticipation', 'Yearning']","[6, 7, 6]",Male,Adult
155,framesdb/images,frame_98zn80gxar4u0kzg.jpg,"[620, 350]","[425, 67, 495, 281]","['Annoyance', 'Disapproval', 'Engagement']","[5, 4, 5]",Male,Adult
156,mscoco/images,COCO_train2014_000000106596.jpg,"[640, 458]","[176, 25, 351, 452]",['Confidence'],"[6, 7, 7]",Male,Adult
157,mscoco/images,COCO_train2014_000000385744.jpg,"[640, 427]","[26, 64, 300, 420]",['Yearning'],"[5, 4, 7]",Female,Adult
158,mscoco/images,COCO_train2014_000000385744.jpg,"[640, 427]","[393, 56, 578, 302]","['Anticipation', 'Esteem', 'Happiness', 'Pleasure']","[5, 5, 6]",Female,Adult
159,mscoco/images,COCO_train2014_000000147012.jpg,"[640, 480]","[305, 86, 411, 326]",['Engagement'],"[7, 7, 7]",Male,Adult
160,mscoco/images,COCO_train2014_000000147012.jpg,"[640, 480]","[336, 119, 534, 472]","['Excitement', 'Happiness', 'Pleasure']","[6, 7, 7]",Male,Adult
161,mscoco/images,COCO_train2014_000000334220.jpg,"[640, 425]","[105, 80, 202, 322]",['Pleasure'],"[6, 7, 7]",Female,Adult
162,mscoco/images,COCO_train2014_000000167397.jpg,"[500, 375]","[237, 156, 321, 346]","['Engagement', 'Excitement', 'Happiness']","[7, 7, 7]",Male,Adult
163,mscoco/images,COCO_train2014_000000221625.jpg,"[640, 320]","[336, 22, 527, 307]","['Anticipation', 'Engagement']","[7, 7, 7]",Female,Adult
164,framesdb/images,frame_0v2clxpnah9oj514.jpg,"[634, 455]","[54, 6, 314, 405]",['Engagement'],"[5, 2, 8]",Male,Adult
165,mscoco/images,COCO_val2014_000000160480.jpg,"[640, 427]","[247, 48, 488, 318]",['Engagement'],"[6, 5, 9]",Female,Teenager
166,mscoco/images,COCO_train2014_000000560391.jpg,"[640, 427]","[46, 48, 251, 258]","['Disconnection', 'Engagement']","[3, 4, 6]",Female,Adult
167,mscoco/images,COCO_train2014_000000028642.jpg,"[640, 429]","[267, 25, 551, 428]",['Engagement'],"[4, 4, 3]",Male,Adult
168,mscoco/images,COCO_val2014_000000178283.jpg,"[640, 426]","[310, 35, 462, 277]","['Anticipation', 'Engagement', 'Excitement']","[5, 5, 5]",Female,Adult
169,framesdb/images,frame_1cnsgmoppetoruv9.jpg,"[900, 600]","[34, 384, 116, 582]","['Affection', 'Excitement', 'Happiness', 'Pleasure']","[5, 2, 8]",Female,Adult
170,framesdb/images,frame_1cnsgmoppetoruv9.jpg,"[900, 600]","[554, 327, 716, 599]",['Engagement'],"[4, 7, 7]",Male,Adult
171,framesdb/images,frame_1cnsgmoppetoruv9.jpg,"[900, 600]","[108, 467, 231, 587]","['Confidence', 'Happiness']","[6, 2, 8]",Male,Adult
